domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,DT,2,42,FINAL-100,0.9646746179633161,0.95626229719827,0.9275980729525121,0.9883477741260831,0.87167325428195,0.9263511621394568,0.53,0.9699361565588696,0.00526153859555345,96,False
oulad,DT,2,1201,20pct,0.6944992511441606,0.7420965926390236,0.6345666497719209,0.5398891966759003,0.7951856385148919,0.6431281966672167,0.37,0.7957851265049072,0.10128587536074662,96,False
oulad,DT,2,1201,35pct,0.74856050658347,0.7896523122624567,0.6725959845015851,0.5551691432184634,0.7952898550724637,0.6538819586669149,0.36,0.8358155409408743,0.08725503435740434,96,False
oulad,DT,2,1201,50pct,0.7929126173290528,0.8328803815152356,0.7479779411764705,0.6255765199161426,0.7573604060913706,0.6851894374282435,0.45,0.8727155382600457,0.07980292093099284,96,False
oulad,DT,2,1201,75pct,0.8418239826735783,0.8810948435570193,0.8471844660194174,0.7897469175859831,0.7244047619047619,0.7556659422539584,0.59,0.9135505282063393,0.07172654553276103,96,False
oulad,DT,2,1201,FINAL-100,0.964668000790887,0.9562572852949999,0.9275980729525121,0.9883477741260831,0.87167325428195,0.9263511621394568,0.53,0.9699380309832255,0.005270030192338515,96,False
oulad,DT,2,2026,20pct,0.6962824688857782,0.7422226504540904,0.6345666497719209,0.5398891966759003,0.7951856385148919,0.6431281966672167,0.37,0.7958109022133101,0.09952843332753192,96,False
oulad,DT,2,2026,35pct,0.7485960603304547,0.7896778938520653,0.6725959845015851,0.5551691432184634,0.7952898550724637,0.6538819586669149,0.36,0.835806177672279,0.08721011734182438,96,False
oulad,DT,2,2026,50pct,0.794989622190005,0.8332425869307625,0.7479779411764705,0.6255765199161426,0.7573604060913706,0.6851894374282435,0.45,0.8727065185339915,0.07771689634398649,96,False
oulad,DT,2,2026,75pct,0.8415507654740615,0.8805319404418829,0.8467961165048544,0.7887232663642255,0.7244047619047619,0.7551970214086255,0.59,0.9135463972471043,0.0719956317730428,96,False
oulad,DT,2,2026,FINAL-100,0.9646699199835373,0.956262259229306,0.9275980729525121,0.9883477741260831,0.87167325428195,0.9263511621394568,0.53,0.9699325043416136,0.00526258435807625,96,False
oulad,RF,0,42,20pct,0.7518105740289479,0.7770506412737627,0.7036471586089906,0.6494054468738013,0.6702296120348377,0.65965322423534,0.42,0.9982078050792377,0.24639723105028977,96,False
